## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/seqs/trimmed/SRR3740255.sorted.bam --OUTPUT data/seqs/trimmed/SRR3740255_marked_duplicates.bam --METRICS_FILE data/seqs/trimmed/SRR3740255_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 03 16:39:05 BST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	86406	3167335	0	526508	9260	16620	0	0.006619	300748680

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	3134140	3134140
2.0	1.989524	16531	16531
3.0	2.968681	43	43
4.0	3.93758	1	1
5.0	4.896329	0	0
6.0	5.845034	0	0
7.0	6.7838	0	0
8.0	7.712732	0	0
9.0	8.631931	0	0
10.0	9.541501	0	0
11.0	10.441542	0	0
12.0	11.332154	0	0
13.0	12.213436	0	0
14.0	13.085485	0	0
15.0	13.948398	0	0
16.0	14.802271	0	0
17.0	15.647199	0	0
18.0	16.483275	0	0
19.0	17.310593	0	0
20.0	18.129243	0	0
21.0	18.939316	0	0
22.0	19.740904	0	0
23.0	20.534093	0	0
24.0	21.318973	0	0
25.0	22.09563	0	0
26.0	22.864151	0	0
27.0	23.624621	0	0
28.0	24.377124	0	0
29.0	25.121743	0	0
30.0	25.858562	0	0
31.0	26.587661	0	0
32.0	27.309123	0	0
33.0	28.023026	0	0
34.0	28.72945	0	0
35.0	29.428473	0	0
36.0	30.120174	0	0
37.0	30.804628	0	0
38.0	31.481911	0	0
39.0	32.152099	0	0
40.0	32.815266	0	0
41.0	33.471485	0	0
42.0	34.12083	0	0
43.0	34.763372	0	0
44.0	35.399183	0	0
45.0	36.028332	0	0
46.0	36.650891	0	0
47.0	37.266927	0	0
48.0	37.87651	0	0
49.0	38.479707	0	0
50.0	39.076584	0	0
51.0	39.667209	0	0
52.0	40.251645	0	0
53.0	40.82996	0	0
54.0	41.402215	0	0
55.0	41.968476	0	0
56.0	42.528804	0	0
57.0	43.083262	0	0
58.0	43.631911	0	0
59.0	44.174813	0	0
60.0	44.712027	0	0
61.0	45.243613	0	0
62.0	45.76963	0	0
63.0	46.290137	0	0
64.0	46.80519	0	0
65.0	47.314848	0	0
66.0	47.819166	0	0
67.0	48.318201	0	0
68.0	48.812008	0	0
69.0	49.300642	0	0
70.0	49.784157	0	0
71.0	50.262606	0	0
72.0	50.736043	0	0
73.0	51.20452	0	0
74.0	51.668089	0	0
75.0	52.126802	0	0
76.0	52.580709	0	0
77.0	53.029861	0	0
78.0	53.474308	0	0
79.0	53.914098	0	0
80.0	54.349281	0	0
81.0	54.779905	0	0
82.0	55.206018	0	0
83.0	55.627666	0	0
84.0	56.044898	0	0
85.0	56.457758	0	0
86.0	56.866293	0	0
87.0	57.270548	0	0
88.0	57.670568	0	0
89.0	58.066397	0	0
90.0	58.45808	0	0
91.0	58.845659	0	0
92.0	59.229178	0	0
93.0	59.608679	0	0
94.0	59.984204	0	0
95.0	60.355795	0	0
96.0	60.723494	0	0
97.0	61.08734	0	0
98.0	61.447374	0	0
99.0	61.803637	0	0
100.0	62.156167	0	0

