## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR3740342.sorted.bam --OUTPUT SRR3740342_mark_dup.bam --METRICS_FILE SRR3740342_mark_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jun 14 10:36:38 BST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	96703	4498821	0	702629	10179	24404	0	0.006486	413172660

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4450088	4450088
2.0	1.989171	24254	24254
3.0	2.967629	75	75
4.0	3.935491	0	0
5.0	4.892872	0	0
6.0	5.839885	0	0
7.0	6.776643	0	0
8.0	7.703256	0	0
9.0	8.619834	0	0
10.0	9.526486	0	0
11.0	10.42332	0	0
12.0	11.310442	0	0
13.0	12.187956	0	0
14.0	13.055968	0	0
15.0	13.914579	0	0
16.0	14.763893	0	0
17.0	15.604008	0	0
18.0	16.435026	0	0
19.0	17.257044	0	0
20.0	18.070161	0	0
21.0	18.874472	0	0
22.0	19.670072	0	0
23.0	20.457057	0	0
24.0	21.235519	0	0
25.0	22.005551	0	0
26.0	22.767244	0	0
27.0	23.520688	0	0
28.0	24.265973	0	0
29.0	25.003186	0	0
30.0	25.732416	0	0
31.0	26.45375	0	0
32.0	27.167271	0	0
33.0	27.873065	0	0
34.0	28.571216	0	0
35.0	29.261807	0	0
36.0	29.944919	0	0
37.0	30.620633	0	0
38.0	31.28903	0	0
39.0	31.950188	0	0
40.0	32.604186	0	0
41.0	33.251102	0	0
42.0	33.891012	0	0
43.0	34.523992	0	0
44.0	35.150118	0	0
45.0	35.769463	0	0
46.0	36.3821	0	0
47.0	36.988104	0	0
48.0	37.587544	0	0
49.0	38.180493	0	0
50.0	38.767021	0	0
51.0	39.347197	0	0
52.0	39.92109	0	0
53.0	40.488768	0	0
54.0	41.050298	0	0
55.0	41.605748	0	0
56.0	42.155182	0	0
57.0	42.698666	0	0
58.0	43.236265	0	0
59.0	43.768041	0	0
60.0	44.294059	0	0
61.0	44.814381	0	0
62.0	45.329067	0	0
63.0	45.83818	0	0
64.0	46.341779	0	0
65.0	46.839925	0	0
66.0	47.332676	0	0
67.0	47.820091	0	0
68.0	48.302228	0	0
69.0	48.779143	0	0
70.0	49.250894	0	0
71.0	49.717535	0	0
72.0	50.179124	0	0
73.0	50.635713	0	0
74.0	51.087358	0	0
75.0	51.534112	0	0
76.0	51.976028	0	0
77.0	52.413158	0	0
78.0	52.845555	0	0
79.0	53.273268	0	0
80.0	53.69635	0	0
81.0	54.11485	0	0
82.0	54.528818	0	0
83.0	54.938303	0	0
84.0	55.343354	0	0
85.0	55.744018	0	0
86.0	56.140343	0	0
87.0	56.532376	0	0
88.0	56.920163	0	0
89.0	57.303752	0	0
90.0	57.683186	0	0
91.0	58.058511	0	0
92.0	58.429771	0	0
93.0	58.797011	0	0
94.0	59.160274	0	0
95.0	59.519603	0	0
96.0	59.875041	0	0
97.0	60.226629	0	0
98.0	60.57441	0	0
99.0	60.918425	0	0
100.0	61.258714	0	0

